ID,Age,Sex
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-28,6,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-27,6,F
7fa47393-956b-454e-8ae5-b669b255bf74_sub-29889,6,F
7fa47393-956b-454e-8ae5-b669b255bf74_sub-29917,6,F
7fa47393-956b-454e-8ae5-b669b255bf74_sub-29915,6,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-16,6,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-15,6,F
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-13,6,F
791ccdc9-46ad-4d99-8347-b772156818df_sub-29591,6,F
2030ffa5-8f4c-4465-b676-02b5b8c0c2dc_sub-0051078,6,M
7fa47393-956b-454e-8ae5-b669b255bf74_sub-29882,6,F
7fa47393-956b-454e-8ae5-b669b255bf74_sub-29881,6,M
7fa47393-956b-454e-8ae5-b669b255bf74_sub-29880,6,M
7fa47393-956b-454e-8ae5-b669b255bf74_sub-29873,6,M
7fa47393-956b-454e-8ae5-b669b255bf74_sub-29888,6,M
7fa47393-956b-454e-8ae5-b669b255bf74_sub-29887,6,M
54168e28-4f4f-4c93-8422-b3d15df05938_sub-CTS208,6,M
132c5630-d4f4-469e-8dc0-c47dbfcd3545_sub-29153,6,M
132c5630-d4f4-469e-8dc0-c47dbfcd3545_sub-29150,6,M
132c5630-d4f4-469e-8dc0-c47dbfcd3545_sub-29166,6,M
132c5630-d4f4-469e-8dc0-c47dbfcd3545_sub-29164,6,M
132c5630-d4f4-469e-8dc0-c47dbfcd3545_sub-29162,6,M
132c5630-d4f4-469e-8dc0-c47dbfcd3545_sub-29159,6,M
132c5630-d4f4-469e-8dc0-c47dbfcd3545_sub-29155,6,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-03,6,F
937206e6-a5e6-447e-b4a7-a209b2921bd3_sub-32,6,F
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29206,6,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29180,6,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-24,6,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-20,6,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-18,6,F
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-06,6,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-04,6,F
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29236,6,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29232,7,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29254,7,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29216,7,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29238,7,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29186,7,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29185,7,M
6340e009-96f1-459e-bde7-9d29f3c054e4_sub-29184,7,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-23,7,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-22,7,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-21,7,F
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-17,7,F
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-11,7,F
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-09,7,F
b9d53866-7467-41cd-b928-232bed8c8816_sub-pixar122,7,M
427de0a8-ba3b-4d5d-bdb1-c3ff561955c7_sub-29743,7,F
427de0a8-ba3b-4d5d-bdb1-c3ff561955c7_sub-29749,7,M
427de0a8-ba3b-4d5d-bdb1-c3ff561955c7_sub-29748,7,F
d38444a8-43da-4640-898e-812761232ab9_sub-28934,7,F
83148b7f-2e52-44c1-a3a8-e9e55eba03d1_sub-0001,7,M
d38444a8-43da-4640-898e-812761232ab9_sub-28940,7,M
7fa47393-956b-454e-8ae5-b669b255bf74_sub-29910,7,M
7fa47393-956b-454e-8ae5-b669b255bf74_sub-29909,7,M
1badfb4a-d17d-4748-8b6f-6c17e7ec454c_sub-28856,7,M
1badfb4a-d17d-4748-8b6f-6c17e7ec454c_sub-28887,7,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-38,7,F
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-36,7,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-32,7,F
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-29,7,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-26,7,F
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-25,7,F
2030ffa5-8f4c-4465-b676-02b5b8c0c2dc_sub-0050977,7,M
2030ffa5-8f4c-4465-b676-02b5b8c0c2dc_sub-0050969,7,M
7fa47393-956b-454e-8ae5-b669b255bf74_sub-29890,7,M
7fa47393-956b-454e-8ae5-b669b255bf74_sub-29916,7,M
4c82467b-e1da-4d6f-8224-3e471ba13480_sub-44,7,M
2030ffa5-8f4c-4465-b676-02b5b8c0c2dc_sub-0051030,7,M
2030ffa5-8f4c-4465-b676-02b5b8c0c2dc_sub-0051013,7,M
2030ffa5-8f4c-4465-b676-02b5b8c0c2dc_sub-0051002,7,M
2030ffa5-8f4c-4465-b676-02b5b8c0c2dc_sub-0051032,7,M
2030ffa5-8f4c-4465-b676-02b5b8c0c2dc_sub-0051070,7,M
7fa47393-956b-454e-8ae5-b669b255bf74_sub-29886,7,M
