ID,Modality
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0375,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0371,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0366,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0385,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0386,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0393,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0410,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0409,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0394,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0408,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0407,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0395,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0406,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0405,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0396,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0404,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0403,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0397,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0402,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0401,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0398,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0400,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0411,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0412,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0392,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0413,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON02693,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0387,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON01802,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0388,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0422,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON01016,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0421,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON89475,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON02747,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0420,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0389,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0418,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0417,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0390,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0416,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0415,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0391,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0414,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0419,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON21959,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0365,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON21976,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON38044,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0022,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0345,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON37194,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0021,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0020,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0346,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON35773,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0347,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0019,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON34766,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0018,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0348,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0017,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON34754,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0349,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0016,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0344,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0023,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON39099,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0024,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0036,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON40757,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0035,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0341,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0034,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0033,Arterial Spin Labeling
63c43a4b-b0f7-4e1e-b6e6-3bc81de17ace_sub-0032,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON40397,Arterial Spin Labeling
4473282f-0986-4984-a093-1dc6d239cad4_sub-ON33827,Arterial Spin Labeling
